gen,zone,tech,fuel,StYr,RetrYr,Capacity,Status,MinLimitShare,HeatRate,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,FOMperMW,VOM,ReserveCost,Capex,Life,BuildLimitperYear,MaxTotalBuild,DescreteCap,fuel2,HeatRate2,MinUtilization,RETech,UnitSize,Tech Valid
Wajir,Kenya,CCGT,Gas,2060.0,2090.0,698.0,3.0,0.15,6.71,0.0,0.0,0.0,0.1,30000.0,14.8,5.0,0.91,30.0,698.0,698.0,0.0,,0.0,0.0,0.0,0.0,True
CCGT_GENC_CCS,Kenya,CCGT_CCS,Gas,2035.0,2060.0,10000.0,3.0,0.15,7.7,1.0,1.0,0.0,0.1,80000.0,21.75,5.0,2.6,30.0,1000.0,10000.0,0.0,,0.0,0.0,0.0,0.0,True
Kitui,Kenya,ST,Coal,2027.0,2057.0,960.0,3.0,0.1,9.64,0.0,0.0,0.0,0.05,69000.0,2.0,5.0,2.39,30.0,960.0,960.0,0.0,,0.0,0.0,0.0,0.0,True
Lamu Coal Power Station,Kenya,ST,Coal,2027.0,2057.0,981.0,3.0,0.1,8.7,0.0,0.0,0.0,0.05,66000.0,2.0,5.0,2.48,30.0,981.0,981.0,0.0,,0.0,0.0,0.0,0.0,True
AGIL Longonot Stage 1,Kenya,Geothermal,Geothermal,2022.0,2052.0,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.05,152500.0,1e-20,5.0,3.59,30.0,35.0,35.0,0.0,,0.0,0.0,0.0,0.0,True
AGIL Longonot Stage 2,Kenya,Geothermal,Geothermal,2023.0,2053.0,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.05,152500.0,1e-20,5.0,3.59,30.0,35.0,35.0,0.0,,0.0,0.5,0.0,0.0,True
AGIL Longonot Stage 3,Kenya,Geothermal,Geothermal,2024.0,2054.0,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.05,151500.0,1e-20,5.0,3.59,30.0,35.0,35.0,0.0,,0.0,0.5,0.0,0.0,True
AGIL Longonot Stage 4,Kenya,Geothermal,Geothermal,2024.0,2054.0,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.05,151500.0,1e-20,5.0,3.59,30.0,35.0,35.0,0.0,,0.0,0.25,0.0,0.0,True
Baringo Silali  - Korosi I,Kenya,Geothermal,Geothermal,2026.0,2056.0,100.0,3.0,0.0,0.0,0.0,0.0,0.0,0.05,71450.0,10.0,5.0,2.1,30.0,100.0,100.0,0.0,,0.0,0.05,0.0,0.0,True
Baringo Silali  - Paka I,Kenya,Geothermal,Geothermal,2026.0,2056.0,100.0,3.0,0.0,0.0,0.0,0.0,0.0,0.05,71450.0,10.0,5.0,2.1,30.0,100.0,100.0,0.0,,0.0,0.0,0.0,0.0,True
Baringo Silali  - Silali I,Kenya,Geothermal,Geothermal,2027.0,2057.0,100.0,3.0,0.0,0.0,0.0,0.0,0.0,0.05,71450.0,10.0,5.0,2.1,30.0,100.0,100.0,0.0,,0.0,0.0,0.0,0.0,True
Eburru 2,Kenya,Geothermal,Geothermal,2025.0,2055.0,25.0,3.0,0.0,0.0,0.0,0.0,0.0,0.05,164500.0,1e-20,5.0,3.91,30.0,25.0,25.0,0.0,,0.0,0.0,0.0,0.0,True
Generic_GENC_Geothermal,Kenya,Geothermal,Geothermal,2029.0,2059.0,6771.0,3.0,0.0,0.0,1.0,1.0,0.0,0.05,71500.0,10.6,5.0,3.12,30.0,1000.0,6771.0,0.0,,0.0,0.05,0.0,0.0,True
Marine Power Akiira   Stage 1,Kenya,Geothermal,Geothermal,2029.0,2059.0,70.0,3.0,0.0,0.0,0.0,0.0,0.0,0.05,151500.0,1e-20,5.0,3.59,30.0,70.0,70.0,0.0,,0.0,0.0,0.0,0.0,True
Marine Power Akiira Stage 2,Kenya,Geothermal,Geothermal,2038.0,2068.0,70.0,3.0,0.0,0.0,0.0,0.0,0.0,0.05,151500.0,1e-20,5.0,3.65,30.0,70.0,70.0,0.0,,0.0,0.0,0.0,0.0,True
Menengai I ,Kenya,Geothermal,Geothermal,2060.0,2090.0,103.0,3.0,0.0,0.0,0.0,0.0,0.0,0.05,152500.0,1e-20,5.0,3.44,30.0,103.0,103.0,0.0,,0.0,0.0,0.0,0.0,True
Menengai I Phase I Stage I - Orpower22,Kenya,Geothermal,Geothermal,2028.0,2058.0,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.05,71000.0,11.0,5.0,2.26,30.0,35.0,35.0,0.0,,0.0,0.0,0.0,0.0,True
Menengai III ,Kenya,Geothermal,Geothermal,2029.0,2059.0,100.0,3.0,0.0,0.0,0.0,0.0,0.0,0.05,151500.0,1e-20,5.0,3.44,30.0,100.0,100.0,0.0,,0.0,0.0,0.0,0.0,True
Menengai Istage2,Kenya,Geothermal,Geothermal,2029.0,2059.0,60.0,3.0,0.0,0.0,0.0,0.0,0.0,0.05,152500.0,1e-20,5.0,3.44,30.0,60.0,60.0,0.0,,0.0,0.0,0.0,0.0,True
Menengai IV - Stage 3,Kenya,Geothermal,Geothermal,2060.0,2090.0,100.0,3.0,0.0,0.0,0.0,0.0,0.0,0.05,151800.0,1e-20,5.0,3.44,30.0,100.0,100.0,0.0,,0.0,0.0,0.0,0.0,True
MenengaiV,Kenya,Geothermal,Geothermal,2031.0,2061.0,100.0,3.0,0.0,0.0,0.0,0.0,0.0,0.05,151800.0,1e-20,5.0,3.43,30.0,100.0,100.0,0.0,,0.0,0.0,0.0,0.0,True
Olkaria 7,Kenya,Geothermal,Geothermal,2024.0,2054.0,140.0,3.0,0.0,0.0,0.0,0.0,0.0,0.05,71450.0,10.0,5.0,2.1,30.0,140.0,140.0,0.0,,0.0,0.0,0.0,0.0,True
Olkaria 8,Kenya,Geothermal,Geothermal,2026.0,2056.0,140.0,3.0,0.0,0.0,0.0,0.0,0.0,0.05,71450.0,10.0,5.0,2.1,30.0,140.0,140.0,0.0,,0.0,0.0,0.0,0.0,True
Olkaria 9 & other fields,Kenya,Geothermal,Geothermal,2027.0,2057.0,140.0,3.0,0.0,0.0,0.0,0.0,0.0,0.05,71450.0,10.0,5.0,2.1,30.0,140.0,140.0,0.0,,0.0,0.0,0.0,0.0,True
Olkaria Brine,Kenya,Geothermal,Geothermal,2024.0,2054.0,100.0,3.0,0.0,0.0,0.0,0.0,0.0,0.05,71450.0,10.0,5.0,2.1,30.0,100.0,100.0,0.0,,0.0,0.0,0.0,0.0,True
Olkaria III units 1-9,Kenya,Geothermal,Geothermal,2060.0,2090.0,110.0,3.0,0.0,0.0,0.0,0.0,0.0,0.05,71450.0,10.0,5.0,2.1,30.0,110.0,110.0,0.0,,0.0,0.0,0.0,0.0,True
Olkaria Topping,Kenya,Geothermal,Geothermal,2025.0,2055.0,40.0,3.0,0.0,0.0,0.0,0.0,0.0,0.05,71450.0,10.0,5.0,2.1,30.0,40.0,40.0,0.0,,0.0,0.0,0.0,0.0,True
Olkaria VI,Kenya,Geothermal,Geothermal,2024.0,2054.0,140.0,3.0,0.0,0.0,0.0,0.0,0.0,0.05,71450.0,10.0,5.0,2.1,30.0,140.0,140.0,0.0,,0.0,0.0,0.0,0.0,True
Olsuswa Unit 1,Kenya,Geothermal,Geothermal,2024.0,2054.0,100.0,3.0,0.0,0.0,0.0,0.0,0.0,0.05,151500.0,1e-20,5.0,3.59,30.0,100.0,100.0,0.0,,0.0,0.0,0.0,0.0,True
Suswa I,Kenya,Geothermal,Geothermal,2026.0,2056.0,100.0,3.0,0.0,0.0,0.0,0.0,0.0,0.05,154650.0,1e-20,5.0,3.59,30.0,100.0,100.0,0.0,,0.0,0.0,0.0,0.0,True
Suswa II,Kenya,Geothermal,Geothermal,2030.0,2060.0,100.0,3.0,0.0,0.0,0.0,0.0,0.0,0.05,151800.0,1e-20,5.0,3.43,30.0,100.0,100.0,0.0,,0.0,0.0,0.0,0.0,True
Suswa III,Kenya,Geothermal,Geothermal,2034.0,2064.0,100.0,3.0,0.0,0.0,0.0,0.0,0.0,0.05,69000.0,1e-20,5.0,2.39,30.0,100.0,100.0,0.0,,0.0,0.0,0.0,0.0,True
Embakasi,Kenya,OCGT,HFO,2060.0,2090.0,27.0,3.0,0.0,11.49,0.0,0.0,0.0,0.1,20900.0,12.5,5.0,1.24,30.0,27.0,27.0,0.0,,0.0,0.0,0.0,0.0,True
Generic_GENC_Natural Gas - OGCT,Kenya,OCGT,Gas,2028.0,2058.0,10000.0,3.0,0.0,9.0,1.0,1.0,0.0,0.2,20000.0,4.0,5.0,0.8,30.0,1000.0,10000.0,0.0,,0.0,0.0,0.0,0.0,True
Generic_LNG_Gas_Turbine,Kenya,OCGT,Gas,2028.0,2058.0,10000.0,3.0,0.0,6.48,0.0,0.0,0.0,0.2,20900.0,2.0,5.0,0.86,30.0,1000.0,10000.0,0.0,,0.0,0.0,0.0,0.0,True
LNG Gas Turbine,Kenya,OCGT,Gas,2028.0,2058.0,200.0,3.0,0.0,6.48,0.0,0.0,0.0,0.2,20900.0,11.0,5.0,0.86,30.0,200.0,200.0,0.0,,0.0,0.0,0.0,0.0,True
GenericHFO,Kenya,ICE,HFO,2027.0,2057.0,10000.0,3.0,0.0,9.9,1.0,1.0,0.0,0.05,20000.0,4.4,5.0,0.8,30.0,1000.0,10000.0,0.0,,0.0,0.0,0.0,0.0,True
Nuclear_Kenya,Kenya,Nuclear,Uranium,2035.0,2085.0,1200.0,3.0,0.3,12.5,0.8,0.8,0.0,0.05,150000.0,3.5,5.0,4.0,50.0,1200.0,1200.0,0.0,,0.0,0.0,0.0,0.0,True
OCGT_GENC_CCS,Kenya,OCGT_CCS,Gas,2035.0,2060.0,10000.0,3.0,0.0,9.8,1.0,1.0,0.0,0.2,55000.0,34.05,5.0,2.3,30.0,1000.0,10000.0,0.0,,0.0,0.05,0.0,0.0,True
Greenmillenia Energy Ltd,Kenya,PV,Solar,2026.0,2051.0,40.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,0.0,0.0,1.5,25.0,40.0,40.0,0.0,,0.0,0.05,1.0,0.0,True
Hanan Arya Energy,Kenya,PV,Solar,2023.0,2048.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,0.0,0.0,1.5,25.0,10.0,10.0,0.0,,0.0,0.05,1.0,0.0,True
Kenergy,Kenya,PV,Solar,2023.0,2048.0,40.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,0.0,0.0,1.5,25.0,40.0,40.0,0.0,,0.0,0.05,1.0,0.0,True
Kopere Solar Park,Kenya,PV,Solar,2023.0,2048.0,40.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,0.0,0.0,1.5,25.0,40.0,40.0,0.0,,0.0,0.05,1.0,0.0,True
Makindu- Rareh (Dafre),Kenya,PV,Solar,2024.0,2049.0,30.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,0.0,0.0,1.5,25.0,30.0,30.0,0.0,,0.0,0.05,1.0,0.0,True
SevenForksSolarPower,Kenya,PV,Solar,2025.0,2055.0,43.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,0.0,0.0,1.5,25.0,42.5,42.5,0.0,,0.0,0.05,1.0,0.0,True
Sunpower Kenya (Makindu-Kibwezi I),Kenya,PV,Solar,2026.0,2051.0,40.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,0.0,0.0,1.5,25.0,40.0,40.0,0.0,,0.0,0.05,1.0,0.0,True
Generic Small Hydro,Kenya,ROR,Water,2027.0,2077.0,11.0,3.0,0.0,0.0,1.0,1.0,0.0,0.4,40000.0,0.5,5.0,3.28,50.0,11.0,11.0,0.0,,0.0,0.05,0.0,0.0,True
Gitaru_Rehab,Kenya,ROR,Water,2050.0,2060.0,216.0,3.0,0.0,0.0,1.0,1.0,0.0,0.4,27400.0,0.5,5.0,0.11,50.0,216.0,216.0,0.0,,0.0,0.05,0.0,0.0,True
Kamburu_Rehab,Kenya,ROR,Water,2040.0,2060.0,90.0,3.0,0.0,0.0,1.0,1.0,0.0,0.4,27400.0,0.5,5.0,1.13,50.0,90.0,90.0,0.0,,0.0,0.05,0.0,0.0,True
Karura,Kenya,ROR,Water,2025.0,2061.0,90.0,3.0,0.0,0.0,1.0,1.0,0.0,0.4,15000.0,0.5,5.0,3.39,50.0,90.0,90.0,0.0,,0.0,0.05,0.0,0.0,True
Kiambere_Rehab,Kenya,ROR,Water,2045.0,2060.0,164.0,3.0,0.0,0.0,1.0,1.0,0.0,0.4,27400.0,0.5,5.0,1.13,50.0,164.0,164.0,0.0,,0.0,0.05,0.0,0.0,True
Kindaruma_Rehab,Kenya,ROR,Water,2045.0,2060.0,71.0,3.0,0.0,0.0,1.0,1.0,0.0,0.4,27400.0,0.5,5.0,1.14,50.0,71.0,71.0,0.0,,0.0,0.05,0.0,0.0,True
Masinga_Rehab,Kenya,ROR,Water,2045.0,2060.0,40.0,3.0,0.0,0.0,1.0,1.0,0.0,0.4,27400.0,0.5,5.0,1.13,50.0,40.0,40.0,0.0,,0.0,0.05,0.0,0.0,True
Sangoro_Rehab,Kenya,ROR,Water,2045.0,2060.0,20.0,3.0,0.0,0.0,1.0,1.0,0.0,0.4,27400.0,0.5,5.0,1.13,50.0,20.0,20.0,0.0,,0.0,0.05,0.0,0.0,True
Sondu_Rehab,Kenya,ROR,Water,2045.0,2060.0,60.0,3.0,0.0,0.0,1.0,1.0,0.0,0.4,27400.0,0.5,5.0,1.13,50.0,60.0,60.0,0.0,,0.0,0.05,0.0,0.0,True
Tana_Rehab,Kenya,ROR,Water,2045.0,2060.0,20.0,3.0,0.0,0.0,1.0,1.0,0.0,0.4,27400.0,0.5,5.0,1.13,50.0,20.0,20.0,0.0,,0.0,0.05,0.0,0.0,True
Turkwel_Rehab,Kenya,ROR,Water,2045.0,2060.0,105.0,3.0,0.0,0.0,1.0,1.0,0.0,0.4,27400.0,0.5,5.0,1.13,50.0,105.0,105.0,0.0,,0.0,0.05,0.0,0.0,True
Generic Large Hydro,Kenya,ReservoirHydro,Water,2027.0,2077.0,1573.0,3.0,0.0,0.0,1.0,1.0,0.0,0.45,50000.0,0.5,5.0,3.3,50.0,31.46,1573.0,0.0,,0.0,0.05,0.0,0.0,True
High Grand Falls - I,Kenya,ReservoirHydro,Water,2026.0,2061.0,495.0,3.0,0.0,0.0,1.0,1.0,0.0,0.45,15500.0,0.5,5.0,3.7,50.0,495.0,495.0,0.0,,0.0,0.05,0.0,0.0,True
High Grand Falls - II,Kenya,ReservoirHydro,Water,2028.0,2061.0,198.0,3.0,0.0,0.0,1.0,1.0,0.0,0.45,15500.0,0.5,5.0,3.7,50.0,198.0,198.0,0.0,,0.0,0.05,0.0,0.0,True
BESS_4,Kenya,Storage,Battery,2026.0,2052.0,250.0,3.0,0.0,1e-10,1.0,1.0,0.0,0.5,40000.0,0.0,5.0,0.3,20.0,250.0,250.0,0.0,,0.0,0.05,0.0,0.0,True
Generic_GENC_BESS,Kenya,Storage,Battery,2027.0,2047.0,10000.0,3.0,0.0,1e-10,1.0,1.0,0.0,0.5,40000.0,0.0,5.0,0.3,20.0,1000.0,10000.0,0.0,,0.0,0.05,0.0,0.0,True
Pumped Hydro,Kenya,Storage,Pumped,2035.0,2095.0,300.0,3.0,0.0,0.0,1.0,1.0,0.0,0.75,50000.0,0.0,5.0,2.9,20.0,300.0,300.0,0.0,,0.0,0.05,0.0,0.0,True
Aperture Green_GENC_KEN,Kenya,OnshoreWind,Wind,2032.0,2062.0,10000.0,3.0,0.0,0.0,0.0,0.0,0.0,1e-10,30000.0,1e-20,0.0,1.9,30.0,200.0,10000.0,0.0,,0.0,0.05,1.0,0.0,True
Bahari Phase I,Kenya,OnshoreWind,Wind,2025.0,2055.0,50.0,3.0,0.0,0.0,0.0,0.0,0.0,1e-10,30000.0,0.0,0.0,1.9,30.0,50.0,50.0,0.0,,0.0,0.05,1.0,0.0,True
Bahari Phase II,Kenya,OnshoreWind,Wind,2026.0,2056.0,40.0,3.0,0.0,0.0,0.0,0.0,0.0,1e-10,30000.0,0.0,0.0,1.9,30.0,40.0,40.0,0.0,,0.0,0.05,1.0,0.0,True
Generic_GENC_Wind_High,Kenya,OnshoreWind,Wind,2027.0,2057.0,1657.0,3.0,0.0,0.0,0.0,0.0,0.0,1e-10,30000.0,1e-20,0.0,1.9,30.0,333.33,1656.67,0.0,,0.0,0.05,1.0,0.0,True
Generic_GENC_Wind_Low_1,Kenya,OnshoreWind,Wind,2027.0,2057.0,1657.0,3.0,0.0,0.0,0.0,0.0,0.0,1e-10,30000.0,1e-20,0.0,1.9,30.0,333.33,1656.67,0.0,,0.0,0.05,1.0,0.0,True
Generic_GENC_Wind_Low_2,Kenya,OnshoreWind,Wind,2027.0,2057.0,1657.0,3.0,0.0,0.0,0.0,0.0,0.0,1e-10,30000.0,1e-20,0.0,1.9,30.0,333.33,1656.67,0.0,,0.0,0.05,1.0,0.0,True
Kajiado Wind ,Kenya,OnshoreWind,Wind,2060.0,2090.0,50.0,3.0,0.0,0.0,0.0,0.0,0.0,1e-10,30000.0,0.0,0.0,1.9,30.0,50.0,50.0,0.0,,0.0,0.0,1.0,0.0,True
Limuru Wind,Kenya,OnshoreWind,Wind,2061.0,2091.0,50.0,3.0,0.0,0.0,0.0,0.0,0.0,1e-10,30000.0,1e-20,0.0,1.9,30.0,50.0,50.0,0.0,,0.0,0.0,1.0,0.0,True
Malindi,Kenya,OnshoreWind,Wind,2061.0,2091.0,50.0,3.0,0.0,0.0,0.0,0.0,0.0,1e-10,30000.0,1e-20,0.0,1.9,30.0,50.0,50.0,0.0,,0.0,0.0,1.0,0.0,True
Marsabit Phase I,Kenya,OnshoreWind,Wind,2027.0,2057.0,300.0,3.0,0.0,0.0,0.0,0.0,0.0,1e-10,30000.0,0.0,0.0,1.9,30.0,300.0,300.0,0.0,,0.0,0.0,1.0,0.0,True
Marsabit Phase II,Kenya,OnshoreWind,Wind,2029.0,2059.0,300.0,3.0,0.0,0.0,0.0,0.0,0.0,1e-10,30000.0,0.0,0.0,1.9,30.0,300.0,300.0,0.0,,0.0,0.0,1.0,0.0,True
Meru I,Kenya,OnshoreWind,Wind,2061.0,2091.0,80.0,3.0,0.0,0.0,0.0,0.0,0.0,1e-10,30000.0,1e-20,0.0,1.9,30.0,80.0,80.0,0.0,,0.0,0.0,1.0,0.0,True
Ngong - 1 - Phase 3,Kenya,OnshoreWind,Wind,2024.0,2059.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,1e-10,30000.0,1e-20,0.0,1.9,30.0,11.0,11.0,0.0,,0.0,0.0,1.0,0.0,True
Prunus Wind,Kenya,OnshoreWind,Wind,2061.0,2091.0,50.0,3.0,0.0,0.0,0.0,0.0,0.0,1e-10,30000.0,1e-20,0.0,1.9,30.0,50.0,50.0,0.0,,0.0,0.0,1.0,0.0,True
OSWD_GENC_OffshoreWind_KEN,Kenya,OffshoreWind,Wind,2027.0,2057.0,43000.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,60000.0,0.0,0.0,3.0,30.0,1000.0,43000.0,0.0,,0.0,0.0,1.0,0.0,True
Menengai I Quantum,Kenya,Geothermal,Geothermal,2024.0,2054.0,35.0,2.0,0.0,0.0,0.0,0.0,0.0,0.05,71000.0,11.0,5.0,2.57,30.0,35.0,35.0,0.0,,0.0,0.0,0.0,0.0,True
Menengai I Sosian,Kenya,Geothermal,Geothermal,2024.0,2054.0,35.0,2.0,0.0,0.0,0.0,0.0,0.0,0.05,71000.0,11.0,5.0,2.26,30.0,35.0,35.0,0.0,,0.0,0.0,0.0,0.0,True
Olkaria 1 B (Rehabilitated),Kenya,Geothermal,Geothermal,2025.0,2055.0,63.0,2.0,0.0,0.0,0.0,0.0,0.0,0.05,71450.0,10.0,5.0,2.1,30.0,63.0,63.0,0.0,,0.0,0.0,0.0,0.0,True
Olkaria 1 Unit 6,Kenya,Geothermal,Geothermal,2022.0,2052.0,83.0,2.0,0.0,0.0,0.0,0.0,0.0,0.05,71450.0,10.0,5.0,2.1,30.0,83.0,83.0,0.0,,0.0,0.0,0.0,0.0,True
Ergon Solair (Kisumu SolarOne Ltd),Kenya,PV,Solar,2024.0,2054.0,40.0,2.0,0.0,0.0,0.0,0.0,0.0,1e-10,15000.0,0.0,0.0,1.5,25.0,40.0,40.0,0.0,,0.0,0.0,1.0,0.0,True
Marco Borero,Kenya,PV,Solar,2022.0,2052.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,0.0,0.0,1.5,25.0,1.5,1.5,0.0,,0.0,0.0,1.0,0.0,True
Radiant- Selenkei,Kenya,PV,Solar,2022.0,2052.0,40.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,0.0,0.0,1.5,25.0,40.0,40.0,0.0,,0.0,0.0,1.0,0.0,True
Small Hydro_2021,Kenya,ROR,Water,2021.0,2061.0,4.0,2.0,0.0,0.0,1.0,1.0,0.0,0.35,27000.0,0.5,5.0,3.28,50.0,3.8,3.8,0.0,,0.0,0.0,0.0,0.0,True
Small Hydro_2022,Kenya,ROR,Water,2022.0,2061.0,10.0,2.0,0.0,0.0,1.0,1.0,0.0,0.35,27000.0,0.5,5.0,3.28,50.0,10.2,10.2,0.0,,0.0,0.0,0.0,0.0,True
Small Hydro_2023,Kenya,ROR,Water,2023.0,2061.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.35,27000.0,0.5,5.0,3.28,50.0,2.4,2.4,0.0,,0.0,0.0,0.0,0.0,True
Small Hydro_2024,Kenya,ROR,Water,2024.0,2061.0,6.0,2.0,0.0,0.0,1.0,1.0,0.0,0.35,27000.0,0.5,5.0,3.28,50.0,6.2,6.2,0.0,,0.0,0.0,0.0,0.0,True
Small Hydro_2025,Kenya,ROR,Water,2025.0,2061.0,30.0,2.0,0.0,0.0,1.0,1.0,0.0,0.35,27000.0,0.5,5.0,3.28,50.0,30.0,30.0,0.0,,0.0,0.0,0.0,0.0,True
Small Hydro_2026,Kenya,ROR,Water,2026.0,2061.0,,2.0,0.0,0.0,1.0,1.0,0.0,0.35,27000.0,0.5,5.0,3.0,50.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
Generic_Rooftop_2021,Kenya,RPV,Solar,2021.0,2041.0,42.0,2.0,0.0,1e-10,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,1.3,20.0,42.0,42.0,0.0,,0.0,0.0,1.0,0.0,True
Generic_Rooftop_2022,Kenya,RPV,Solar,2022.0,2042.0,15.0,2.0,0.0,1e-10,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,1.3,20.0,15.0,15.0,0.0,,0.0,0.0,1.0,0.0,True
Generic_Rooftop_2023,Kenya,RPV,Solar,2023.0,2043.0,12.0,2.0,0.0,1e-10,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,1.3,20.0,12.0,12.0,0.0,,0.0,0.0,1.0,0.0,True
Generic_Rooftop_2024,Kenya,RPV,Solar,2024.0,2044.0,10.0,2.0,0.0,1e-10,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,1.3,20.0,10.0,10.0,0.0,,0.0,0.0,1.0,0.0,True
Generic_Rooftop_2025,Kenya,RPV,Solar,2025.0,2045.0,13.0,2.0,0.0,1e-10,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,1.3,20.0,13.0,13.0,0.0,,0.0,0.0,1.0,0.0,True
Generic_Rooftop_2026,Kenya,RPV,Solar,2026.0,2046.0,6.0,2.0,0.0,1e-10,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,1.3,20.0,6.0,6.0,0.0,,0.0,0.0,1.0,0.0,True
Generic_Rooftop_2027,Kenya,RPV,Solar,2027.0,2047.0,5.0,2.0,0.0,1e-10,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,1.3,20.0,5.0,5.0,0.0,,0.0,0.0,1.0,0.0,True
Generic_Rooftop_2028,Kenya,RPV,Solar,2028.0,2048.0,3.0,2.0,0.0,1e-10,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,1.3,20.0,3.0,3.0,0.0,,0.0,0.0,1.0,0.0,True
Generic_Rooftop_2029,Kenya,RPV,Solar,2029.0,2049.0,3.0,2.0,0.0,1e-10,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,1.3,20.0,3.0,3.0,0.0,,0.0,0.0,1.0,0.0,True
Generic_Rooftop_2030,Kenya,RPV,Solar,2030.0,2050.0,2.0,2.0,0.0,1e-10,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,1.3,20.0,2.0,2.0,0.0,,0.0,0.0,1.0,0.0,True
Generic_Rooftop_2031,Kenya,RPV,Solar,2031.0,2051.0,5.0,2.0,0.0,1e-10,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,1.3,20.0,5.0,5.0,0.0,,0.0,0.0,1.0,0.0,True
Generic_Rooftop_2032,Kenya,RPV,Solar,2032.0,2052.0,5.0,2.0,0.0,1e-10,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,1.3,20.0,5.0,5.0,0.0,,0.0,0.0,1.0,0.0,True
Generic_Rooftop_2033,Kenya,RPV,Solar,2033.0,2053.0,5.0,2.0,0.0,1e-10,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,1.3,20.0,5.0,5.0,0.0,,0.0,0.0,1.0,0.0,True
Generic_Rooftop_2034,Kenya,RPV,Solar,2034.0,2054.0,5.0,2.0,0.0,1e-10,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,1.3,20.0,5.0,5.0,0.0,,0.0,0.0,1.0,0.0,True
Generic_Rooftop_2035,Kenya,RPV,Solar,2035.0,2055.0,5.0,2.0,0.0,1e-10,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,1.3,20.0,5.0,5.0,0.0,,0.0,0.0,1.0,0.0,True
Generic_Rooftop_2036,Kenya,RPV,Solar,2036.0,2056.0,5.0,2.0,0.0,1e-10,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,1.3,20.0,5.0,5.0,0.0,,0.0,0.05,1.0,0.0,True
Generic_Rooftop_2037,Kenya,RPV,Solar,2037.0,2057.0,5.0,2.0,0.0,1e-10,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,1.3,20.0,5.0,5.0,0.0,,0.0,0.05,1.0,0.0,True
Generic_Rooftop_2038,Kenya,RPV,Solar,2038.0,2058.0,5.0,2.0,0.0,1e-10,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,1.3,20.0,5.0,5.0,0.0,,0.0,0.05,1.0,0.0,True
Generic_Rooftop_2039,Kenya,RPV,Solar,2039.0,2059.0,5.0,2.0,0.0,1e-10,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,1.3,20.0,5.0,5.0,0.0,,0.0,0.05,1.0,0.0,True
Generic_Rooftop_2040,Kenya,RPV,Solar,2040.0,2060.0,5.0,2.0,0.0,1e-10,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,1.3,20.0,5.0,5.0,0.0,,0.0,0.05,1.0,0.0,True
BESS_1_2_3,Kenya,Storage,Battery,2024.0,2052.0,250.0,2.0,0.0,1e-10,1.0,1.0,0.0,0.5,40000.0,0.0,5.0,0.3,20.0,250.0,250.0,0.0,,0.0,0.05,0.0,0.0,True
Chania green,Kenya,OnshoreWind,Wind,2022.0,2057.0,50.0,2.0,0.0,0.0,0.0,0.0,0.0,1e-10,30000.0,1e-20,0.0,1.9,30.0,50.0,50.0,0.0,,0.0,0.05,1.0,0.0,True
Kwale Co-Generation_TAnaBiomass,Kenya,BiomassPlant,Biomass,2025.0,2055.0,18.0,1.0,0.0,12.5,0.0,0.0,0.0,1e-10,100000.0,2.5,5.0,1.5,30.0,0.0,0.0,0.0,,0.0,0.05,0.0,0.0,True
